,city,complaint_type,location_type
7321,RIDGEWOOD,Illegal Parking,Street/Sidewalk
7322,NEW YORK,Noise - Commercial,Store/Commercial
7323,BROOKLYN,Illegal Parking,Street/Sidewalk
7325,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
7326,NEW YORK,FLOORING/STAIRS,RESIDENTIAL BUILDING
7327,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7328,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7329,SUNNYSIDE,Blocked Driveway,Street/Sidewalk
7330,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7331,WOODHAVEN,Blocked Driveway,Street/Sidewalk
7333,NEW YORK,Noise - Commercial,Store/Commercial
7334,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7335,HOWARD BEACH,Noise - Commercial,Club/Bar/Restaurant
7336,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7338,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7339,NEW YORK,Noise - Commercial,Store/Commercial
7340,Jamaica,PLUMBING,RESIDENTIAL BUILDING
7341,Jamaica,PLUMBING,RESIDENTIAL BUILDING
7342,Jamaica,DOOR/WINDOW,RESIDENTIAL BUILDING
7344,WHITESTONE,Noise - Commercial,Club/Bar/Restaurant
7345,RIDGEWOOD,Noise - Commercial,Store/Commercial
7346,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7347,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7348,NEW YORK,Noise - Vehicle,Street/Sidewalk
7349,MASPETH,Noise - Street/Sidewalk,Street/Sidewalk
7352,BROOKLYN,Blocked Driveway,Street/Sidewalk
7353,BROOKLYN,Drinking,Street/Sidewalk
7354,STATEN ISLAND,Noise - Street/Sidewalk,Street/Sidewalk
7355,Springfield Gardens,ELECTRIC,RESIDENTIAL BUILDING
7356,BROOKLYN,Noise - Commercial,Store/Commercial
7359,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7360,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7361,CORONA,Noise - Street/Sidewalk,Street/Sidewalk
7362,COLLEGE POINT,Noise - Street/Sidewalk,Street/Sidewalk
7363,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
7364,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
7365,BROOKLYN,WATER LEAK,RESIDENTIAL BUILDING
7366,BROOKLYN,WATER LEAK,RESIDENTIAL BUILDING
7370,BROOKLYN,Sidewalk Condition,Sidewalk
7371,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7372,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7374,ROSEDALE,Blocked Driveway,Street/Sidewalk
7375,COLLEGE POINT,Noise - Street/Sidewalk,Street/Sidewalk
7376,South Richmond Hill,DOOR/WINDOW,RESIDENTIAL BUILDING
7377,BROOKLYN,Illegal Parking,Street/Sidewalk
7378,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7379,EAST ELMHURST,Blocked Driveway,Street/Sidewalk
7380,COLLEGE POINT,Noise - Street/Sidewalk,Street/Sidewalk
7381,NEW YORK,WATER LEAK,RESIDENTIAL BUILDING
7382,BROOKLYN,Illegal Parking,Street/Sidewalk
7383,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7384,STATEN ISLAND,Street Sign - Damaged,Street
7385,South Richmond Hill,WATER LEAK,RESIDENTIAL BUILDING
7386,South Richmond Hill,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7387,NEW YORK,Noise - Commercial,Store/Commercial
7388,NEW YORK,Noise - Commercial,Store/Commercial
7389,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7390,BRONX,Noise - Park,Park/Playground
7391,MASPETH,Noise - Street/Sidewalk,Street/Sidewalk
7394,FLUSHING,Derelict Vehicle,Street/Sidewalk
7395,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7396,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7397,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7398,BROOKLYN,DOOR/WINDOW,RESIDENTIAL BUILDING
7399,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7400,BROOKLYN,DOOR/WINDOW,RESIDENTIAL BUILDING
7402,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7403,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
7404,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7405,STATEN ISLAND,Street Sign - Damaged,Street
7406,STATEN ISLAND,Street Sign - Damaged,Street
7408,BELLEROSE,Noise - Commercial,Store/Commercial
7409,BRONX,Illegal Parking,Street/Sidewalk
7411,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7412,BRONX,Blocked Driveway,Street/Sidewalk
7414,FLUSHING,Blocked Driveway,Street/Sidewalk
7415,RIDGEWOOD,Noise - Commercial,Club/Bar/Restaurant
7417,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7419,BRONX,Illegal Parking,Street/Sidewalk
7420,BROOKLYN,Illegal Parking,Street/Sidewalk
7421,CORONA,Noise - Street/Sidewalk,Street/Sidewalk
7425,COLLEGE POINT,Noise - Commercial,Club/Bar/Restaurant
7426,NEW YORK,Noise - Vehicle,Street/Sidewalk
7427,BROOKLYN,Maintenance or Facility,Park
7429,NEW YORK,Rodent,3+ Family Apt. Building
7430,FLUSHING,Noise - Vehicle,Street/Sidewalk
7431,BROOKLYN,Noise - Commercial,Store/Commercial
7432,JAMAICA,Blocked Driveway,Street/Sidewalk
7433,BROOKLYN,Rodent,Other (Explain Below)
7434,KEW GARDENS,Noise - Commercial,Club/Bar/Restaurant
7435,BROOKLYN,Blocked Driveway,Street/Sidewalk
7438,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7441,NEW YORK,Noise - Vehicle,Street/Sidewalk
7443,BROOKLYN,Sidewalk Condition,Sidewalk
7444,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7445,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7446,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7447,FLUSHING,Blocked Driveway,Street/Sidewalk
7448,CORONA,Drinking,Club/Bar/Restaurant
7449,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7450,RIDGEWOOD,Street Condition,Street
7451,ROSEDALE,Blocked Driveway,Street/Sidewalk
7453,COLLEGE POINT,Noise - Street/Sidewalk,Street/Sidewalk
7454,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7456,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7457,CORONA,Drinking,Club/Bar/Restaurant
7458,BROOKLYN,Dirty Conditions,Lot
7461,FLUSHING,Noise - Street/Sidewalk,Street/Sidewalk
7463,NEW YORK,Noise - Commercial,Store/Commercial
7465,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7467,CORONA,Blocked Driveway,Street/Sidewalk
7468,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
7469,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7470,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7472,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7473,FLUSHING,Derelict Vehicle,Street/Sidewalk
7474,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7475,COLLEGE POINT,Noise - Commercial,Store/Commercial
7477,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7478,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7479,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7480,MIDDLE VILLAGE,Illegal Parking,Street/Sidewalk
7482,BROOKLYN,Rodent,Commercial Building
7484,MIDDLE VILLAGE,Illegal Parking,Street/Sidewalk
7485,NEW YORK,Noise - Commercial,Store/Commercial
7487,NEW YORK,Illegal Parking,Street/Sidewalk
7488,BROOKLYN,Food Establishment,Restaurant/Bar/Deli/Bakery
7490,Far Rockaway,HEAT/HOT WATER,RESIDENTIAL BUILDING
7491,NEW YORK,Noise - Vehicle,Street/Sidewalk
7492,FLUSHING,Noise - Street/Sidewalk,Street/Sidewalk
7493,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7494,BRONX,Blocked Driveway,Street/Sidewalk
7495,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7496,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7497,BROOKLYN,Derelict Vehicle,Street/Sidewalk
7499,MASPETH,Blocked Driveway,Street/Sidewalk
7500,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7501,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7502,Corona,Sanitation Condition,Sidewalk
7503,Elmhurst,PLUMBING,RESIDENTIAL BUILDING
7504,Elmhurst,PLUMBING,RESIDENTIAL BUILDING
7506,BRONX,Blocked Driveway,Street/Sidewalk
7507,South Ozone Park,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7508,South Ozone Park,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7509,BROOKLYN,Derelict Vehicles,Street
7511,ELMHURST,For Hire Vehicle Report,Street
7515,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7516,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
7517,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
7518,BROOKLYN,Dirty Conditions,Sidewalk
7519,BROOKLYN,Noise - Commercial,Store/Commercial
7520,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7521,NEW YORK,Noise - Commercial,Store/Commercial
7522,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7523,BRONX,Illegal Parking,Street/Sidewalk
7526,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7527,BROOKLYN,Blocked Driveway,Street/Sidewalk
7528,STATEN ISLAND,WATER LEAK,RESIDENTIAL BUILDING
7529,STATEN ISLAND,PAINT/PLASTER,RESIDENTIAL BUILDING
7530,REGO PARK,Food Poisoning,Restaurant/Bar/Deli/Bakery
7531,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7533,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7534,BROOKLYN,Street Condition,Street
7536,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7537,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7538,NEW YORK,Noise - Commercial,Store/Commercial
7539,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7540,BRONX,Blocked Driveway,Street/Sidewalk
7541,BRONX,Blocked Driveway,Street/Sidewalk
7542,COLLEGE POINT,Noise - Commercial,Club/Bar/Restaurant
7543,BROOKLYN,Illegal Parking,Street/Sidewalk
7544,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7545,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7546,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7547,EAST ELMHURST,Illegal Parking,Street/Sidewalk
7549,FLUSHING,Noise - Street/Sidewalk,Street/Sidewalk
7550,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7551,HOWARD BEACH,Illegal Parking,Street/Sidewalk
7552,FLUSHING,Noise - Street/Sidewalk,Street/Sidewalk
7553,FLUSHING,Noise - Street/Sidewalk,Street/Sidewalk
7554,NEW YORK,Animal Abuse,Residential Building/House
7555,FLUSHING,Noise - Street/Sidewalk,Street/Sidewalk
7556,BROOKLYN,Street Condition,Street
7557,COLLEGE POINT,Noise - Commercial,Club/Bar/Restaurant
7558,BRONX,Blocked Driveway,Street/Sidewalk
7559,FLUSHING,Noise - Street/Sidewalk,Street/Sidewalk
7560,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7561,NEW YORK,Noise - Vehicle,Street/Sidewalk
7562,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7565,BROOKLYN,Blocked Driveway,Street/Sidewalk
7566,FLUSHING,Noise - Street/Sidewalk,Street/Sidewalk
7567,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7568,SOUTH RICHMOND HILL,Blocked Driveway,Street/Sidewalk
7569,BROOKLYN,Drinking,Club/Bar/Restaurant
7572,BRONX,Blocked Driveway,Street/Sidewalk
7573,WOODSIDE,Blocked Driveway,Street/Sidewalk
7574,SUNNYSIDE,Noise - Commercial,Store/Commercial
7575,BRONX,APPLIANCE,RESIDENTIAL BUILDING
7576,NEW YORK,Street Condition,Street
7577,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7580,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7581,FLUSHING,Noise - Street/Sidewalk,Street/Sidewalk
7582,RICHMOND HILL,Blocked Driveway,Street/Sidewalk
7583,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7584,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7585,BRONX,Blocked Driveway,Street/Sidewalk
7587,STATEN ISLAND,Dirty Conditions,Sidewalk
7588,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7589,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7590,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7591,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
7595,BROOKLYN,Blocked Driveway,Street/Sidewalk
7596,BROOKLYN,Illegal Parking,Street/Sidewalk
7597,BROOKLYN,Vending,Street/Sidewalk
7598,BRONX,Blocked Driveway,Street/Sidewalk
7599,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7600,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7601,NEW YORK,Noise - Commercial,Store/Commercial
7602,BROOKLYN,Illegal Parking,Street/Sidewalk
7604,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7605,BROOKLYN,Illegal Parking,Street/Sidewalk
7606,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7607,BROOKLYN,Blocked Driveway,Street/Sidewalk
7608,BRONX,APPLIANCE,RESIDENTIAL BUILDING
7609,BRONX,PLUMBING,RESIDENTIAL BUILDING
7610,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
7611,BRONX,ELECTRIC,RESIDENTIAL BUILDING
7612,BRONX,FLOORING/STAIRS,RESIDENTIAL BUILDING
7613,BRONX,PLUMBING,RESIDENTIAL BUILDING
7614,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
7615,BRONX,ELECTRIC,RESIDENTIAL BUILDING
7616,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
7617,OZONE PARK,Illegal Parking,Street/Sidewalk
7618,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
7619,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7620,NEW YORK,Noise - Commercial,Store/Commercial
7621,JAMAICA,Blocked Driveway,Street/Sidewalk
7622,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7624,QUEENS VILLAGE,Illegal Parking,Street/Sidewalk
7625,FAR ROCKAWAY,Illegal Parking,Street/Sidewalk
7627,CORONA,Blocked Driveway,Street/Sidewalk
7628,BRONX,Noise - Commercial,Store/Commercial
7629,BAYSIDE,Illegal Parking,Street/Sidewalk
7630,Jamaica,DOOR/WINDOW,RESIDENTIAL BUILDING
7631,Jamaica,HEAT/HOT WATER,RESIDENTIAL BUILDING
7632,Jamaica,FLOORING/STAIRS,RESIDENTIAL BUILDING
7633,Jamaica,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7634,Jamaica,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7635,Jamaica,GENERAL,RESIDENTIAL BUILDING
7636,Jamaica,FLOORING/STAIRS,RESIDENTIAL BUILDING
7637,Jamaica,FLOORING/STAIRS,RESIDENTIAL BUILDING
7638,Jamaica,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7639,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7641,BROOKLYN,Blocked Driveway,Street/Sidewalk
7643,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7645,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7646,FLUSHING,Blocked Driveway,Street/Sidewalk
7647,BRONX,Broken Muni Meter,Street
7648,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7649,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7650,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7651,STATEN ISLAND,Illegal Parking,Street/Sidewalk
7652,BROOKLYN,Derelict Vehicle,Street/Sidewalk
7654,BROOKLYN,Dirty Conditions,Sidewalk
7655,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7657,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7658,FOREST HILLS,Blocked Driveway,Street/Sidewalk
7659,STATEN ISLAND,Blocked Driveway,Street/Sidewalk
7660,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7661,NEW YORK,Illegal Parking,Street/Sidewalk
7663,BROOKLYN,Illegal Parking,Street/Sidewalk
7664,BROOKLYN,Illegal Parking,Street/Sidewalk
7665,BRONX,Sidewalk Condition,Sidewalk
7666,BRONX,Smoking,Restaurant/Bar/Deli/Bakery
7667,BROOKLYN,Blocked Driveway,Street/Sidewalk
7668,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7669,BRONX,Blocked Driveway,Street/Sidewalk
7670,BRONX,Blocked Driveway,Street/Sidewalk
7671,BROOKLYN,Blocked Driveway,Street/Sidewalk
7672,BRONX,Blocked Driveway,Street/Sidewalk
7673,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7674,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7675,OZONE PARK,Maintenance or Facility,Park
7676,BRONX,Blocked Driveway,Street/Sidewalk
7677,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7679,BROOKLYN,Blocked Driveway,Street/Sidewalk
7682,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
7683,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
7684,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7685,ASTORIA,Illegal Parking,Street/Sidewalk
7686,BROOKLYN,Noise - Commercial,Store/Commercial
7687,RICHMOND HILL,Blocked Driveway,Street/Sidewalk
7688,NEW YORK,Illegal Parking,Street/Sidewalk
7689,ASTORIA,Blocked Driveway,Street/Sidewalk
7690,BROOKLYN,Noise - Commercial,Store/Commercial
7691,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7692,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7693,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
7694,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
7696,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7697,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7698,NEW YORK,Derelict Vehicles,Street
7699,BRONX,Blocked Driveway,Street/Sidewalk
7700,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7701,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7702,BRONX,Blocked Driveway,Street/Sidewalk
7704,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7706,BROOKLYN,Illegal Parking,Street/Sidewalk
7707,BRONX,Noise - Commercial,Club/Bar/Restaurant
7709,NEW YORK,ELEVATOR,RESIDENTIAL BUILDING
7710,BRONX,Rodent,3+ Family Mixed Use Building
7712,STATEN ISLAND,Illegal Parking,Street/Sidewalk
7713,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7715,BROOKLYN,Animal Abuse,Store/Commercial
7716,BROOKLYN,Smoking,Residential Building
7717,Flushing,Sanitation Condition,Street
7718,BROOKLYN,Blocked Driveway,Street/Sidewalk
7719,STATEN ISLAND,Noise - Commercial,Store/Commercial
7721,RICHMOND HILL,Blocked Driveway,Street/Sidewalk
7722,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7723,COLLEGE POINT,Blocked Driveway,Street/Sidewalk
7725,NEW YORK,Noise - Vehicle,Street/Sidewalk
7727,STATEN ISLAND,Illegal Parking,Street/Sidewalk
7728,NEW YORK,Blocked Driveway,Street/Sidewalk
7729,CORONA,Noise - Street/Sidewalk,Street/Sidewalk
7730,REGO PARK,Blocked Driveway,Street/Sidewalk
7732,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7733,STATEN ISLAND,Illegal Parking,Street/Sidewalk
7734,SOUTH OZONE PARK,Blocked Driveway,Street/Sidewalk
7735,JACKSON HEIGHTS,Blocked Driveway,Street/Sidewalk
7736,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
7737,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7738,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
7739,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
7740,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
7743,NEW YORK,Illegal Parking,Street/Sidewalk
7744,Ridgewood,HEAT/HOT WATER,RESIDENTIAL BUILDING
7745,STATEN ISLAND,Animal Abuse,Residential Building/House
7746,ASTORIA,Blocked Driveway,Street/Sidewalk
7747,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7748,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7749,BRONX,Noise - Vehicle,Street/Sidewalk
7750,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7751,SOUTH RICHMOND HILL,Blocked Driveway,Street/Sidewalk
7752,BROOKLYN,Illegal Parking,Street/Sidewalk
7754,MASPETH,Derelict Vehicle,Street/Sidewalk
7755,BROOKLYN,Derelict Vehicle,Street/Sidewalk
7756,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7757,BRONX,Derelict Vehicles,Street
7759,BROOKLYN,Rodent,3+ Family Mixed Use Building
7760,BROOKLYN,Noise - Commercial,Store/Commercial
7761,BROOKLYN,Noise - Vehicle,Street/Sidewalk
7762,FLUSHING,Blocked Driveway,Street/Sidewalk
7763,BROOKLYN,Blocked Driveway,Street/Sidewalk
7764,BROOKLYN,Dirty Conditions,Sidewalk
7765,BROOKLYN,DOOR/WINDOW,RESIDENTIAL BUILDING
7766,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
7767,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
7768,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
7769,OAKLAND GARDENS,Damaged Tree,Street
7770,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7771,NEW YORK,Broken Muni Meter,Street
7772,STATEN ISLAND,Street Condition,Street
7773,NEW YORK,Noise - Park,Park/Playground
7774,ELMHURST,Food Poisoning,Restaurant/Bar/Deli/Bakery
7775,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7776,Ozone Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
7777,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
7778,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7779,BROOKLYN,Blocked Driveway,Street/Sidewalk
7780,RIDGEWOOD,Noise - Street/Sidewalk,Street/Sidewalk
7781,BROOKLYN,Animal Abuse,Residential Building/House
7782,BROOKLYN,Dirty Conditions,Sidewalk
7783,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7784,NEW YORK,Noise - Commercial,Store/Commercial
7786,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7787,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7788,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7789,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7790,BROOKLYN,WATER LEAK,RESIDENTIAL BUILDING
7791,BROOKLYN,WATER LEAK,RESIDENTIAL BUILDING
7792,South Ozone Park,Dirty Conditions,Sidewalk
7793,REGO PARK,Illegal Parking,Street/Sidewalk
7794,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7797,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7798,BROOKLYN,Dirty Conditions,Sidewalk
7799,STATEN ISLAND,Animal Abuse,Residential Building/House
7800,BROOKLYN,Rodent,3+ Family Apt. Building
7801,Rockaway Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
7802,BROOKLYN,Noise - Commercial,Store/Commercial
7803,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7804,BRONX,ELECTRIC,RESIDENTIAL BUILDING
7805,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
7806,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7809,BRONX,Blocked Driveway,Street/Sidewalk
7810,BROOKLYN,Blocked Driveway,Street/Sidewalk
7811,BRONX,WATER LEAK,RESIDENTIAL BUILDING
7812,REGO PARK,Blocked Driveway,Street/Sidewalk
7813,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7814,NEW YORK,Indoor Sewage,3+ Family Apt. Building
7815,NEW YORK,Noise - Commercial,Store/Commercial
7817,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7820,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7821,NEW YORK,GENERAL,RESIDENTIAL BUILDING
7822,FLUSHING,Blocked Driveway,Street/Sidewalk
7827,BROOKLYN,Dirty Conditions,Sidewalk
7829,SOUTH RICHMOND HILL,Blocked Driveway,Street/Sidewalk
7831,BRONX,GENERAL,RESIDENTIAL BUILDING
7832,BROOKLYN,Homeless Encampment,Street/Sidewalk
7833,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7835,SPRINGFIELD GARDENS,Blocked Driveway,Street/Sidewalk
7836,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7838,BROOKLYN,Noise - Vehicle,Street/Sidewalk
7839,Flushing,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7840,Flushing,PLUMBING,RESIDENTIAL BUILDING
7841,Flushing,PAINT/PLASTER,RESIDENTIAL BUILDING
7842,Flushing,WATER LEAK,RESIDENTIAL BUILDING
7843,NEW YORK,Noise - Helicopter,Above Address
7845,NEW YORK,Street Sign - Damaged,Street
7846,SOUTH OZONE PARK,Blocked Driveway,Street/Sidewalk
7847,ROCKAWAY PARK,Sidewalk Condition,Sidewalk
7848,NEW YORK,WATER LEAK,RESIDENTIAL BUILDING
7851,NEW YORK,Illegal Parking,Street/Sidewalk
7854,FOREST HILLS,Blocked Driveway,Street/Sidewalk
7855,BROOKLYN,Dirty Conditions,Sidewalk
7856,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7857,NEW YORK,ELECTRIC,RESIDENTIAL BUILDING
7858,BROOKLYN,Illegal Parking,Street/Sidewalk
7859,BRONX,Blocked Driveway,Street/Sidewalk
7861,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7864,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
7865,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
7866,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
7867,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7868,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
7869,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
7870,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7871,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7872,REGO PARK,Broken Muni Meter,Street
