School Name,Street Address,City,Coordinates
High School for Innovation in Advertising and Media,1600 Rockaway Parkway,Brooklyn,"(40.640423, -73.8984517)"
Cultural Academy for  Arts and Sciences,5800 Tilden Avenue,Brooklyn,"(40.6480566, -73.9222341)"
High School for Medical Professions,1600 Rockaway Parkway,Brooklyn,"(40.640423, -73.8984517)"
Academy for Conservation and  Environment,6565 Flatlands Avenue,Brooklyn,"(40.6335392, -73.9174422)"
Urban Action Academy,1600 Rockaway Parkway,Brooklyn,"(40.640423, -73.8984517)"
Academy for Young Writers,1065 Elton Street,Brooklyn,"(40.6573003, -73.87413769999999)"
East New York Family Academy,2057 Linden Boulevard,Brooklyn,"(40.661095, -73.886661)"
FDNY High School for Fire and Life Safety,400 Pennsylvania Avenue,Brooklyn,"(40.6676011, -73.8947918)"
High School for Civil Rights,400 Pennsylvania Avenue,Brooklyn,"(40.6676011, -73.8947918)"
Performing Arts and Technology High School,400 Pennsylvania Avenue,Brooklyn,"(40.6676011, -73.8947918)"
World Academy for Total Community Health High School,400 Pennsylvania Avenue,Brooklyn,"(40.6676011, -73.8947918)"
Multicultural High School,999 Jamaica Avenue,Brooklyn,"(40.6928503, -73.8689912)"
Transit Tech Career and Technical Education High School,1 Wells Street,Brooklyn,"(40.678748, -73.8752133)"
Academy of Innovative Technology,999 Jamaica Avenue,Brooklyn,"(40.6928503, -73.8689912)"
Brooklyn Lab School,999 Jamaica Avenue,Brooklyn,"(40.6928503, -73.8689912)"
Cypress Hills Collegiate Preparatory School,999 Jamaica Avenue,Brooklyn,"(40.6928503, -73.8689912)"
W. H. Maxwell Career and Technical Education High School,145 Pennsylvania Avenue,Brooklyn,"(40.6739267, -73.8963734)"
 School for Classics: An Academy of Thinkers Writers and Peformers,370 Fountain Avenue,Brooklyn,"(40.6700472, -73.8744253)"
New Utrecht High School,1601 80 Street,Brooklyn,"(40.6130317, -74.00215759999999)"
High School of Telecommunication Arts and Technology,350 67 Street,Brooklyn,"(40.6368485, -74.0231804)"
Fort Hamilton High School,8301 Shore Road,Brooklyn,"(40.6271178, -74.0392943)"
